,IS_DEFAULT
25015,0
29448,0
13295,0
16883,1
9943,0
29335,0
15853,0
27124,1
16571,0
17267,0
24835,0
1069,0
27804,0
24300,0
27692,1
26131,0
26957,0
23435,0
19257,0
20272,0
6131,1
20366,0
24003,1
11208,0
25530,1
24684,0
27405,1
12799,0
1652,0
29800,0
10972,1
4597,0
15043,1
24078,0
10578,0
11396,0
15377,0
14867,0
13617,0
26616,1
23396,0
5878,0
21307,1
25010,1
23331,0
24466,0
8003,0
5813,1
6925,1
23845,1
14005,1
24000,0
8248,0
2949,0
20894,0
29639,0
6024,0
21056,0
19189,0
8865,0
28365,0
5508,0
17975,1
20249,1
26561,1
29512,1
7691,1
17146,1
24639,0
991,1
25318,0
10271,1
14344,0
16352,0
28974,0
12071,0
8658,0
12912,0
24971,0
24963,0
4146,1
11149,0
15473,0
2823,1
468,0
15874,0
17185,0
585,0
1045,0
17394,0
26801,1
12095,0
28625,1
4116,0
3125,0
8521,0
12977,0
4502,0
10278,0
18083,1
2284,0
21344,0
26367,0
2669,0
24735,0
3385,0
22593,0
26532,1
8284,0
19564,0
16678,1
4624,0
11654,1
3983,0
20406,0
25811,1
26483,0
10524,0
19370,0
21196,0
22967,0
18828,0
15963,1
14147,0
10198,0
11494,0
13358,0
15617,0
2383,0
22558,0
15213,0
6401,0
13942,0
1507,0
27885,1
1926,0
5811,0
8244,1
20441,0
13054,0
24194,1
826,0
6301,1
11126,0
14847,0
23961,0
4651,0
10646,0
1201,0
7242,0
23088,0
24153,0
10128,0
3376,0
9414,0
26336,0
18952,0
20266,0
2363,0
23105,1
20323,0
23376,0
15621,1
3358,0
14177,0
3943,0
9438,0
6969,0
15825,0
2656,0
25156,0
19847,1
24451,0
23746,0
6056,0
18060,1
4601,0
13592,0
14822,0
13363,0
29677,0
16372,0
2953,0
29582,1
7070,0
29917,0
27437,0
20656,1
24158,0
27176,0
13425,0
17606,1
24385,1
2929,0
4437,0
12903,0
19644,1
22406,0
26479,0
17380,1
24845,0
13376,0
8953,0
7727,1
13107,0
6922,1
5658,0
12283,0
24673,0
19773,0
11645,0
25861,1
11316,0
26854,0
310,0
15316,0
3713,0
26964,0
27768,0
20193,1
11378,0
4187,1
23302,1
2444,1
15529,0
16363,1
8238,0
8409,0
27749,0
1535,0
13540,1
26706,0
17970,0
29359,0
19743,0
1923,0
4958,0
21583,1
11545,0
1206,1
4813,0
6055,0
24974,1
8645,0
12703,0
26819,0
2304,0
22896,0
10126,0
2209,0
26267,0
9396,0
28052,1
29450,1
1787,0
13548,0
25565,1
23184,0
15070,0
6644,0
28400,0
23489,0
6101,1
341,0
4538,0
9439,1
12984,0
4003,0
22567,0
13551,0
24075,0
26333,0
16884,0
28027,0
25994,0
10661,0
17903,1
19477,0
23487,0
23340,0
2142,1
2228,0
10551,0
14272,1
27705,0
28743,0
18616,0
26255,0
2872,0
5662,0
21585,0
15731,0
7376,1
22133,1
16674,1
23866,0
24229,0
28444,0
124,0
22018,0
20119,0
14589,1
6782,0
29593,0
13545,0
9930,0
19724,0
3211,0
10197,0
17567,1
8781,0
20100,0
10958,0
24932,0
3870,1
10028,1
7106,0
25616,0
6971,0
3336,0
3209,0
12295,1
27492,0
26094,0
23733,0
15208,0
18933,1
17841,0
22009,0
22597,0
5810,1
1775,1
3872,1
11861,0
17858,1
16448,0
10909,0
23276,1
8678,0
1552,0
16054,1
14673,0
2024,1
14797,0
6360,1
18052,0
12159,0
11036,1
5239,0
5901,0
8753,0
2549,0
29567,0
23155,0
8511,0
17218,0
20494,1
28676,0
2349,0
26827,0
23587,1
21316,0
29675,0
12055,0
10727,0
27613,0
24988,0
7904,0
27122,0
1819,0
1731,1
26997,0
18222,0
25286,0
18414,0
16531,1
19145,0
11261,0
27369,0
4017,1
2468,0
14446,0
18430,1
19111,0
8366,0
24011,1
25775,1
7978,0
21615,1
25192,0
23993,0
28691,0
27348,1
26548,0
17482,0
9166,0
20415,0
4433,0
29763,0
9695,0
12872,0
15862,0
17896,1
329,0
26728,0
16419,0
16640,0
6432,0
3933,0
27056,0
1929,0
9601,0
6080,1
21129,1
22425,0
12067,0
6265,1
11881,0
12750,0
17085,0
5040,0
460,0
25085,0
20926,0
14548,0
27253,1
5855,0
22829,0
29293,0
17534,1
2745,1
28992,1
26388,0
2067,1
2502,1
2897,1
13429,0
3309,1
18496,0
27895,1
10437,0
9214,0
24251,0
4496,1
5993,0
9906,0
25420,1
8257,1
5163,0
23113,1
7143,0
20380,0
5620,0
26419,0
21598,0
5217,1
20593,0
17976,0
17934,0
1377,0
29811,1
8224,0
11998,1
7884,0
14796,0
14196,1
27540,0
18198,0
8137,1
11950,0
12569,1
13325,0
19665,0
2366,0
22375,0
18423,0
24604,1
4873,0
3425,0
16680,0
7399,1
4657,1
16731,0
8545,0
13897,0
7829,0
26591,1
18596,1
18765,0
7324,1
22885,0
14579,0
3152,1
18237,1
14178,1
26761,0
3701,0
8304,0
8873,0
28847,0
602,0
7295,0
230,0
14645,0
18943,0
7882,0
4467,0
9119,0
27711,0
20147,1
26291,1
19708,0
7776,0
8424,0
23937,0
25891,0
3567,1
3615,0
27751,0
15487,1
27264,0
17075,0
25396,1
10238,0
27733,1
3969,0
4507,0
11000,0
18499,0
2734,0
20201,0
15831,1
21454,0
8024,0
6721,1
13939,0
7807,0
7218,0
9462,1
1422,0
3115,0
3163,0
24334,0
29530,0
19091,1
7954,0
19467,0
22107,0
16400,0
15443,0
22284,0
10041,0
1818,0
11050,0
25300,0
1194,0
11951,0
4582,1
23161,0
3539,1
11849,0
6767,0
20965,1
6887,0
1114,0
26717,0
27373,0
20467,0
4673,0
28936,0
19504,1
25274,0
14614,1
4107,0
17377,0
15057,0
6229,0
5782,0
4979,1
14930,0
11616,0
22756,1
2976,0
14850,0
8695,1
21356,0
3156,0
19367,0
18268,1
4511,0
13503,0
5862,1
5395,0
21069,0
27966,0
22629,0
4884,0
17985,0
26243,0
5923,0
25644,0
2955,1
17664,0
12251,0
13524,0
23976,0
8773,0
28016,0
15437,0
29569,0
6999,0
9445,1
14422,0
25756,0
22619,0
16978,0
19827,1
15724,0
28666,0
28772,0
25956,0
5356,0
25219,0
4151,0
26360,0
27427,1
16314,1
11830,1
17420,0
19654,0
28462,1
23103,0
5648,0
13835,0
23271,1
5484,0
15662,0
25643,0
20367,1
12670,0
8392,0
5210,0
5950,0
7950,0
11789,1
29428,0
24461,1
15782,0
9703,0
6195,0
10533,0
27866,0
3553,0
2192,0
2043,0
25182,0
12181,1
17328,0
1811,0
28129,0
4007,0
13633,0
7558,0
27193,0
21734,0
11157,0
6550,0
6616,0
27647,1
13296,0
16116,1
19489,0
25767,0
15420,0
19750,0
2981,0
2106,0
16867,0
24459,1
26065,0
7191,1
18486,0
9093,0
11959,0
11973,1
26636,0
28657,0
29659,0
7563,1
4421,0
27532,0
2097,0
17104,0
18020,1
12399,1
27814,0
19171,0
12479,0
23504,0
9211,1
15068,0
8733,0
4975,0
4426,0
5520,0
26244,0
1789,0
10824,0
26308,0
28431,0
23931,1
8701,1
6591,0
20768,0
6559,0
19251,1
21116,0
22324,0
7970,0
6701,0
7891,1
20359,0
24921,1
2917,1
3635,0
3974,0
26116,0
10451,0
4411,0
20586,1
16070,0
1604,0
14061,0
2853,1
20078,0
4732,0
20735,0
23853,0
9712,1
22951,0
9272,0
1666,0
828,0
4730,0
21995,0
27598,0
8432,0
28942,1
27134,1
13230,1
14359,0
25606,1
26252,0
20205,0
26263,0
23164,0
23125,0
14377,0
18838,1
22078,0
16229,0
2634,0
23592,0
21411,0
27536,0
4720,1
21491,1
28367,0
20228,0
21679,0
2276,0
28806,0
14683,1
23030,0
9690,1
254,0
10789,0
2516,0
3750,0
986,0
29866,1
10068,0
2044,1
14098,0
12313,0
25068,0
5747,0
24893,1
18495,1
7999,1
7801,0
19650,0
12459,0
29474,0
8530,0
20654,1
7347,0
20557,0
621,0
20254,0
19545,0
24155,0
23521,0
27491,0
24440,0
9125,1
23472,0
27764,0
3186,1
5290,0
18337,1
4420,0
23076,0
26921,0
16253,0
29347,0
19945,0
1676,0
21141,0
23946,0
8235,0
22343,0
29644,0
29592,0
17416,1
10180,1
15494,0
9465,0
15282,0
3752,0
9637,0
20244,0
12777,1
5029,1
19166,0
1329,0
4808,0
13268,0
16167,1
14878,1
10021,0
16027,1
24097,0
1453,0
2016,1
7984,0
26764,1
1557,0
18174,0
25637,0
1010,0
20184,0
21661,0
1204,0
16629,0
6082,1
15297,1
29486,0
26982,0
11448,0
9646,0
12848,0
11550,0
23849,0
20016,0
5066,1
21273,1
27513,1
28185,0
8500,0
4893,0
26559,0
5334,0
7036,0
7663,0
12096,0
10633,0
6773,0
8928,0
1154,0
21534,0
15399,0
1240,0
9945,1
2119,0
29457,0
9691,0
16376,0
12379,1
11181,0
2416,1
6707,0
20210,0
22510,0
27175,0
3520,0
1310,1
9529,0
25960,0
25457,0
8689,0
27445,0
4199,0
21271,0
6805,0
8008,0
18843,1
4298,0
467,0
9951,1
13994,0
7352,1
12162,1
5841,0
17130,0
20802,1
27010,0
15914,0
13531,1
29873,1
8108,1
28891,0
21225,0
7165,1
14836,0
2154,1
25099,1
20495,0
29361,0
3523,0
8254,1
22507,0
9334,1
6879,0
20393,0
530,0
27975,1
11408,0
25229,0
19282,0
24280,1
12800,0
14288,0
19589,0
20747,1
159,0
29166,0
13377,0
1044,1
17224,0
12727,1
11444,1
22359,0
14906,0
24778,0
3801,0
25726,1
26156,0
16651,0
11485,0
15488,0
24853,0
9339,0
27352,0
7107,0
16524,0
9213,0
23203,0
16967,0
15910,1
20176,0
22960,0
3411,0
22010,0
1790,0
26988,1
21042,0
14841,0
15755,0
17209,0
9509,0
12070,0
5512,0
18588,0
10481,0
9884,0
24733,0
7135,0
4817,0
25640,0
13596,1
21462,1
5307,0
24645,0
27833,0
22691,1
9680,0
11256,0
18675,1
10559,0
23488,0
9149,0
6652,0
24305,1
1457,1
20140,0
6171,1
2674,0
20309,0
25917,0
4449,0
21269,0
26760,1
14758,0
4698,0
20137,0
5018,0
21244,1
27808,0
23736,0
16291,0
13005,0
20341,1
14656,1
3248,0
8237,0
22471,1
14697,1
7787,1
28174,0
9861,0
15434,1
3650,0
6624,0
8784,0
11960,0
14319,1
26647,0
500,0
1601,0
8892,1
22831,1
8855,0
26803,0
10664,0
3759,0
14118,0
8345,0
22871,0
6800,0
25862,0
23344,0
5772,0
21330,0
11403,0
7081,1
28205,1
324,0
19877,0
29169,1
6294,0
24659,0
15442,0
15606,0
6984,1
23392,0
12661,1
4929,1
19014,0
9466,1
16374,1
5055,0
11901,0
17285,0
17746,0
5943,0
13804,0
1572,0
1580,0
20712,0
25257,0
5196,0
22228,0
8422,0
19235,0
10104,0
19930,0
24216,0
12645,0
8613,0
18784,0
24460,0
18006,1
2144,0
12140,0
22082,1
20967,0
29528,0
17361,1
6918,0
3814,1
9514,0
14980,0
19622,0
12485,0
1054,0
19694,0
19575,0
14883,0
11420,1
20919,0
10345,0
13455,0
10018,1
7446,0
4481,0
18856,0
27713,1
23210,0
3657,0
11491,0
28033,0
10956,1
23644,1
5787,0
3856,0
5701,0
16744,0
24349,0
20683,0
8395,0
24615,0
22300,0
15321,0
17421,0
8542,0
18319,0
29726,0
947,0
19455,0
14838,0
13703,1
28408,0
13988,0
8776,0
17983,0
13297,1
289,0
28116,0
23345,0
26699,0
9011,0
18331,0
27104,1
12046,1
19485,0
2813,0
1241,0
4253,0
22234,0
29923,0
18841,0
3512,0
23208,0
7685,0
9069,1
19112,1
28051,0
3202,0
1703,0
10409,0
25016,0
2915,0
22665,0
26189,0
13678,0
14280,1
12803,1
27907,0
12216,1
9839,0
7494,0
24924,0
17110,0
9136,1
19055,0
11319,0
19986,0
26653,0
7905,0
25931,0
29609,1
21136,0
9331,1
27160,0
12921,0
16502,1
3438,0
16622,1
1418,0
9926,1
28816,0
3439,0
2998,0
3004,0
15943,0
4908,0
22706,0
24528,0
14545,0
11742,1
20496,0
21292,1
12118,0
17675,0
13550,1
21853,0
28031,0
20518,0
6599,0
18673,0
27012,0
13974,0
24573,0
10919,0
23404,0
22775,1
21370,0
21780,0
27425,0
4912,0
15162,0
14708,0
26506,1
12092,0
12435,0
8425,0
10115,0
27771,0
1869,1
12047,1
7668,0
23419,0
28445,0
10029,0
17066,0
28328,0
5324,0
5366,0
13542,0
25024,0
1180,0
5298,0
25073,0
11358,0
28954,0
18689,0
27948,0
6979,0
11638,0
11344,0
12021,0
8038,1
13773,0
10904,0
1525,0
14430,1
9989,0
14410,1
26015,0
27688,0
26297,1
5888,0
16558,1
11628,0
22878,0
20910,0
21743,0
13673,0
24442,0
27292,0
18142,0
1598,0
22685,0
18737,0
24709,0
13437,0
23970,0
7991,0
22772,0
12680,0
18763,0
10596,0
14270,1
6339,0
319,0
25842,0
11840,0
11541,0
18114,0
1135,0
27662,1
27564,0
25467,0
5133,1
19722,0
8655,0
10984,0
80,0
17460,1
7118,1
25888,0
10718,0
26201,0
3988,1
886,0
3897,1
14592,0
27523,1
6341,1
9743,0
538,0
17217,1
3874,0
7294,0
4615,0
2306,0
25495,0
10847,0
20859,0
13133,0
16844,0
12868,1
2888,0
6801,0
13079,1
7550,1
10565,0
9751,0
24572,1
21764,0
893,0
18427,0
10183,0
26691,1
25551,0
29788,0
8361,0
13453,0
7521,0
20022,0
5164,0
13366,0
27515,0
13316,0
29216,1
1671,0
4955,1
28183,0
21593,0
13212,0
3934,0
17820,0
19712,0
15228,0
21362,1
27071,0
24233,1
24594,1
14505,0
10635,0
28314,0
2476,0
182,0
23159,0
12814,0
29473,0
11216,0
21845,0
370,1
4603,0
23546,0
23459,1
13594,0
17297,0
18776,0
16566,1
11869,0
21465,0
55,0
1295,0
10794,1
9242,0
12297,0
23648,0
18451,0
18051,1
128,1
22092,1
7612,1
11919,0
15554,0
22952,1
29321,1
1460,1
3455,0
8601,0
20060,0
14725,0
12490,1
10575,0
5714,0
12406,0
7532,0
27048,0
24085,0
17580,0
22705,0
28805,0
22457,0
1029,1
12581,1
3191,0
14091,0
19144,0
1716,0
24661,0
8311,0
13496,1
19811,0
13289,0
7083,1
17667,0
23096,0
5882,1
983,0
6002,0
578,0
27034,1
17319,0
8076,0
3922,0
15870,0
21505,1
3909,1
7983,0
10005,0
4080,0
24953,0
24546,0
16271,0
12030,0
24694,1
7471,1
20705,0
22944,0
25147,0
1309,0
15533,0
19279,0
13099,0
18729,0
21474,0
24315,0
7156,0
504,0
4985,0
6719,1
23979,0
28512,0
5606,0
19289,0
5153,0
3012,0
769,0
5527,0
2130,0
10819,0
28533,0
13720,0
8788,1
21666,0
8091,0
6640,0
1558,1
11410,1
15009,0
7445,1
12124,1
10186,0
2049,0
2362,1
28719,0
4752,0
5548,0
3041,0
5808,0
140,1
26374,0
10615,1
17616,0
17942,0
4329,0
14741,0
22734,0
2105,0
25370,0
26410,0
9039,0
9834,1
22086,0
15630,0
22803,0
17098,0
19237,1
7245,1
4530,0
25575,0
1909,0
17108,1
569,0
27791,0
26012,0
24810,0
2032,0
24479,0
20449,0
22651,0
3109,0
3729,0
15864,0
23171,0
2485,0
7298,0
11686,0
19970,0
1164,0
15024,1
2495,0
25142,0
5371,0
6868,0
4947,0
28104,0
10144,0
2867,0
5082,1
19633,1
29623,0
751,0
20353,1
14182,0
94,0
15391,0
6249,0
6531,0
2680,0
880,0
548,0
15067,1
20349,1
26588,0
9738,0
13690,0
5447,0
29095,0
24109,0
7674,1
24975,0
8683,1
4841,0
5287,0
14146,0
8973,0
29821,0
29692,0
12623,0
6869,0
17520,1
25278,0
8272,1
8049,0
26373,0
14905,1
16856,0
21047,0
1193,0
14041,1
9821,0
27045,0
1764,0
6256,0
15514,0
22860,0
10773,0
19,0
2343,0
4361,0
13145,1
24195,0
28063,0
3105,0
2339,0
26579,0
22839,0
15827,0
10742,0
18622,0
12578,0
18284,0
27244,0
20632,0
4648,0
18659,1
14028,1
4982,0
26299,0
11975,0
19133,0
25330,0
14553,1
6098,0
6457,0
8405,0
29786,1
25814,1
14128,0
7334,1
2703,0
11659,1
22774,0
29547,0
22174,0
29086,1
4700,1
20815,0
17895,1
3314,0
24030,0
5641,0
1121,1
22580,1
10667,0
2312,0
2460,1
12311,1
5001,0
24592,0
28160,0
12709,0
12431,0
13178,0
6611,1
3965,0
3711,0
7744,1
23539,0
8718,0
3009,0
5806,0
15342,0
29956,1
17638,0
23531,0
4245,0
3935,0
23420,0
7351,1
25397,0
24968,0
8994,0
28,0
8403,0
3901,0
15102,1
20552,0
19691,1
147,0
6207,0
17769,0
21640,0
17549,1
17763,0
27397,0
29028,0
9275,0
9491,0
14577,1
24098,0
12854,1
18970,0
10137,0
11566,0
5581,0
18586,0
29371,0
18627,0
17593,0
28889,1
15648,0
6698,1
14334,0
14874,1
20890,0
5818,0
7147,1
360,1
3982,0
18204,0
25508,1
284,0
7690,0
27497,1
10681,0
16760,1
19116,1
4259,0
25533,0
7613,0
14762,0
12901,1
11292,1
5571,0
4359,0
12392,0
22205,0
10147,0
2974,0
18005,0
28899,0
22200,0
4489,0
2060,0
21049,0
23382,0
3396,1
4475,0
4379,0
4672,1
20617,0
10763,0
17531,1
674,0
13204,0
11583,0
18135,0
12873,0
19882,1
22546,0
22816,1
13188,1
8844,0
8742,0
1346,0
782,1
19505,1
4398,0
21709,0
20065,0
22915,0
7943,0
22679,1
3968,0
13486,0
11703,0
24874,0
23166,1
5317,0
14462,1
25558,0
24566,0
14701,0
22844,0
20124,0
10155,0
22894,0
16776,1
24784,0
29375,1
6083,0
29853,0
15290,0
5162,0
7373,0
17979,0
13647,1
15458,1
28951,0
11486,0
26259,0
18055,0
18519,0
5719,1
2890,0
18218,0
28190,0
29157,1
29857,0
2357,0
1962,0
29796,1
8808,0
10636,0
29892,0
12308,0
14136,1
19598,0
9543,0
14425,1
17430,0
5134,1
3006,0
24091,0
7560,0
10569,0
17770,0
2979,0
8181,0
1127,0
22978,0
14172,0
6193,0
5539,0
8606,0
19959,0
25173,0
2554,0
24412,1
12037,0
9121,0
10151,1
10841,0
8359,0
27544,0
12747,0
5594,0
18517,0
5831,0
10940,0
8958,0
9944,0
24035,1
27990,1
23856,0
16332,0
25090,0
1516,0
3920,0
8161,0
21022,0
23455,0
24796,0
17591,0
4430,0
5999,0
29324,0
13713,0
7041,0
5243,0
26258,0
26439,1
12666,1
22073,0
25366,0
23485,1
7826,0
17065,0
15417,1
16878,0
568,0
26576,0
28135,0
23601,1
16386,0
27902,0
24743,1
546,1
14750,0
15298,0
26335,0
20248,0
27294,0
16613,1
17692,0
19876,0
8661,1
18173,1
3410,0
12695,0
11207,0
2451,0
3136,0
27339,0
3966,0
13150,0
24598,0
13836,0
20858,0
27597,1
12180,0
2448,1
26520,0
1533,0
7286,0
12774,0
19817,0
24588,0
2612,0
27652,0
11429,1
11775,0
9948,1
20699,0
2561,1
21119,0
10397,0
18493,0
23138,0
8379,0
5086,0
13746,0
27922,1
20670,0
24149,0
10608,0
23274,0
12150,0
11858,0
9196,0
8861,1
18826,0
6642,0
5629,0
26620,1
9877,0
23620,0
24013,1
21413,0
27724,0
7434,1
27837,0
1751,1
17679,1
26771,0
28178,0
23342,0
10653,0
876,0
29332,0
615,0
4915,1
15937,0
19373,1
12417,0
17951,0
20958,0
14246,0
5344,0
28315,0
15083,0
189,0
13236,0
18143,0
11196,0
11855,1
23198,0
24268,0
24775,0
29489,0
29719,0
14008,0
25336,0
27722,1
13450,1
25549,0
19457,1
14233,0
29301,0
19249,0
20090,0
25518,1
8957,0
5647,0
15312,0
9366,0
15592,1
2498,0
5421,0
890,0
6254,0
22433,0
23307,0
11792,0
24587,0
21611,0
7773,0
11807,0
21833,0
16059,0
25150,0
4584,0
12155,1
1765,1
2975,1
5487,0
19980,0
17450,1
23308,0
10098,0
16991,0
22964,0
16101,0
12156,0
1588,0
4829,1
17031,0
27955,0
22098,0
4487,0
23572,0
27858,1
18372,1
8824,0
22810,1
20407,1
21455,0
21470,0
2181,0
4534,1
13909,0
18650,0
1103,0
7481,0
18953,0
4229,0
4932,0
17992,1
23640,0
1339,1
18981,0
4119,0
9382,0
15206,0
29418,1
13135,0
26624,1
19819,0
7014,0
27886,0
24800,0
8323,0
1943,0
28584,0
22129,0
13057,0
1839,1
21239,0
25892,0
14209,0
7599,0
27829,0
20534,0
4206,0
6299,0
22985,1
221,0
10489,0
15269,0
10290,0
9852,0
4141,0
25587,0
17379,0
15545,1
23545,0
19441,0
6245,0
98,0
2582,0
20224,0
16289,0
380,0
23921,0
1728,0
29266,0
10067,0
1343,0
2347,0
948,0
6618,0
14523,0
28721,1
8110,0
12833,1
21936,0
9014,0
28652,0
20542,1
18266,0
6149,0
22216,0
5044,0
24798,0
14699,0
16771,1
21750,0
10375,0
5744,1
25659,0
13384,0
16682,0
25151,0
2785,0
203,0
21500,0
15822,1
4679,0
5989,0
18349,1
8163,0
24933,0
23580,0
18217,0
4132,1
24256,1
12567,0
1392,0
21172,0
22235,0
22162,0
2447,0
3598,0
18118,0
1031,0
464,0
25603,0
16505,1
979,0
25393,1
595,0
20789,1
24849,0
20035,0
20042,0
17743,1
8975,0
6674,1
20416,0
8111,0
112,0
7671,0
22601,0
13416,0
4854,0
26350,1
3714,0
17233,0
96,0
23584,0
26758,0
2848,0
7522,0
7827,0
1842,0
20532,0
12255,0
8352,0
12681,0
8473,0
6124,1
2226,0
10398,1
16812,1
20282,0
4725,1
15802,0
14102,0
24510,0
15527,0
19304,0
6955,0
16240,0
28242,0
7012,1
14059,0
29891,0
1621,0
12812,0
12446,1
4609,0
10897,0
28103,0
28211,0
16974,1
12466,0
8305,0
18799,1
7926,0
1646,1
16600,1
26702,0
7018,1
7935,0
27379,0
26397,0
18325,0
5777,0
11818,1
29087,0
12813,0
10498,0
14484,0
9409,0
12657,0
17041,0
4668,1
6150,1
15271,0
24429,1
21392,0
23180,0
20544,0
1085,0
19300,0
5784,1
28076,0
720,0
22199,0
18416,1
574,0
25866,0
24494,0
12472,0
12518,1
16538,0
1284,0
18370,1
22231,0
10630,0
27227,0
16165,1
11963,1
3351,0
15995,0
2373,1
14990,0
22554,0
13326,0
4099,1
966,0
20018,0
20896,1
1650,0
8026,0
28099,0
11521,0
7280,0
21026,0
14654,0
10996,0
24641,1
25287,1
23482,0
16627,1
12031,0
23740,0
273,0
12190,1
466,1
16489,0
24226,1
24866,0
17225,0
17514,0
12292,0
23133,0
6127,0
12390,0
9139,0
17736,0
6030,0
29799,1
18124,0
27928,0
28081,0
9425,0
17027,0
21375,1
15578,0
5790,0
10628,0
11450,0
19845,1
23670,0
8250,0
7085,1
29146,0
2370,0
26404,0
24879,0
21812,1
17959,0
25875,0
12436,0
11438,0
3740,0
25570,0
10376,0
13233,0
15541,1
12862,0
27260,0
16820,1
29687,0
13610,0
4997,0
18551,0
27760,0
23250,0
29445,0
3868,0
22776,0
28788,0
22614,0
1221,0
179,0
13164,1
10211,0
23137,0
21830,0
21863,0
12979,1
1644,1
18630,0
14216,0
5272,1
26301,0
16087,1
11199,1
84,0
10850,0
24721,0
12085,0
17562,1
3090,0
10223,0
8700,0
19720,0
22477,0
9203,0
17077,0
25986,0
15490,1
19406,0
17632,0
19458,0
4914,0
23622,0
26381,0
23227,0
23840,0
26599,0
26449,0
20513,0
11303,0
22159,0
24012,0
24655,1
28826,0
28122,0
21395,0
17526,0
26930,0
4617,0
22294,0
8731,0
20628,1
15601,0
28633,1
26122,0
4012,1
7733,1
22974,0
15267,0
23563,0
10483,0
22243,0
12015,0
7808,0
11045,1
175,1
28380,0
26347,0
14271,1
9352,0
28196,0
11722,0
26772,0
3738,0
25716,1
13636,0
5415,0
23907,0
28683,0
3776,0
19588,1
9219,0
9080,0
19470,0
26875,0
3958,0
21249,1
28407,0
23415,0
13195,0
9003,0
10173,0
17175,1
22723,0
7233,1
15438,1
7930,0
15486,0
28780,0
22305,1
5951,1
27604,1
10914,0
8761,0
16514,0
11272,0
6826,0
21127,0
27700,0
14747,0
1890,0
8459,0
14349,0
29681,0
1429,0
11755,0
512,0
21522,0
19844,0
19135,1
8496,0
6253,0
16484,0
28852,0
17964,0
1432,1
2021,0
584,0
1589,0
11865,0
7368,1
4032,0
20900,0
12372,0
1802,0
27670,1
8457,0
12888,0
22797,0
18946,0
17466,0
20185,0
13286,0
29581,1
10810,0
19010,1
4874,0
5973,0
19212,0
21024,0
21193,0
19208,0
24771,1
20877,0
27096,1
15809,0
15746,1
10168,0
20166,0
15969,0
4131,0
26896,1
11254,0
10045,0
13670,0
27498,0
1574,0
21910,0
28137,1
8849,1
13938,0
25829,0
15713,0
27717,0
29167,0
1593,0
14392,0
25958,0
26724,0
18770,0
8441,1
11023,1
13735,1
19728,0
27777,1
13050,0
3834,0
9024,0
27518,0
20991,0
29618,1
26194,0
12129,0
3420,0
22581,0
26066,0
7409,1
27290,0
956,0
15351,0
10095,0
768,0
13104,0
1985,0
14985,0
8719,1
8182,1
20998,1
628,0
18667,0
26260,1
4123,1
2798,0
17813,0
26084,0
21263,0
24957,0
20999,1
25098,0
21312,1
16065,0
11976,0
27167,1
29241,0
6612,0
17056,1
12919,0
14111,0
19833,0
28571,0
5544,0
18203,1
11857,0
25874,1
15992,0
19647,0
2657,0
27553,1
4504,0
19003,0
27612,0
10915,0
13096,0
13848,1
13381,0
3446,1
18408,1
17016,0
13723,0
29008,0
19838,0
9707,0
10351,0
27745,1
10393,0
27667,0
18248,0
9259,0
442,0
18341,0
8374,0
16281,0
17136,0
6851,0
7518,0
16783,0
4612,1
29521,1
16475,1
25267,0
5887,0
25002,1
17121,0
27139,0
20928,0
25849,0
3305,0
1918,0
12182,0
2184,0
16758,1
13660,0
19996,0
11268,0
1635,0
15758,1
21397,0
