,EAD
21585,-0.6819999999999999
15731,0.0
7376,1543.025
22133,586.675
16674,618.481
23866,1822.087
24229,2827.51
28444,781.5409999999999
124,592.5649999999999
22018,2399.121
20119,3091.568
14589,1599.879
6782,2606.914
29593,1524.115
13545,29.419
9930,323.02
19724,3152.886
3211,1032.982
10197,2033.569
17567,3145.973
8781,1188.292
20100,1538.344
10958,1834.859
24932,44.33
3870,1515.435
10028,7438.853
7106,2136.768
25616,810.619
6971,2872.925
3336,1492.216
3209,6630.714
12295,252.464
27492,16827.637
26094,3101.147
23733,0.0
15208,590.984
18933,174.437
17841,1320.135
22009,5473.515
22597,4.619
5810,3338.359
1775,472.254
3872,995.689
11861,223.324
17858,817.067
16448,2921.657
10909,234.732
23276,58.156
8678,45.384
1552,291.927
16054,1634.134
14673,1384.553
2024,385.206
14797,15790.315
6360,352.749
18052,107.167
12159,1652.331
11036,3660.976
5239,1280.734
5901,825.0649999999999
8753,307.83
2549,537.571
29567,25.823
23155,8878.121
8511,260.4
17218,2275.307
20494,414.904
28676,48.763
2349,2975.907
26827,39.091
23587,5105.421
21316,43.803
29675,382.881
12055,0.0
10727,618.481
27613,26.815
24988,1038.469
7904,1483.66
27122,280.674
1819,1157.943
1731,7911.913
26997,6064.809
18222,1811.578
25286,1380.864
18414,1441.035
16531,249.705
19145,0.0
11261,0.0
27369,1776.703
4017,0.0
2468,4385.756
14446,2998.909
18430,2607.038
19111,349.587
8366,2223.072
24011,888.181
25775,0.0
7978,34.937
21615,774.349
25192,0.0
23993,379.316
28691,2090.113
27348,606.639
26548,1231.661
17482,1117.922
9166,995.348
20415,444.385
4433,10.106
29763,20.708
9695,12.09
12872,1120.774
15862,419.027
17896,439.983
329,3095.505
26728,1850.328
16419,994.635
16640,647.311
6432,120.032
3933,779.34
27056,2275.834
1929,5247.06
9601,112.034
6080,2295.147
21129,-1.612
22425,201.221
12067,187.736
6265,2708.656
11881,1142.536
12750,549.568
17085,1391.714
5040,771.435
460,4727.81
25085,892.676
20926,6381.288
14548,9403.757
27253,9.796
5855,4017.507
22829,0.0
29293,1504.554
17534,1290.189
2745,2360.402
28992,10.261
26388,331.173
2067,878.509
2502,12.369
2897,2064.569
13429,5057.65
3309,3332.717
18496,82.274
27895,753.5169999999999
10437,12.09
9214,120.032
24251,-0.031
4496,-0.279
5993,706.1179999999999
9906,1077.56
25420,1564.787
8257,5605.637
5163,124.775
23113,7837.234
7143,115.506
20380,88.319
5620,418.903
26419,398.567
21598,46.903
5217,2409.134
20593,910.718
17976,2470.917
17934,0.0
1377,10.075
29811,-8.215
8224,18008.768
11998,615.846
7884,671.77
14796,504.556
14196,89.28
27540,478.02
18198,1383.685
8137,0.0
11950,15.5
12569,1521.511
13325,351.044
19665,3186.831
2366,298.902
22375,1889.357
18423,357.151
24604,1801.813
4873,621.7669999999999
3425,1304.914
16680,404.829
7399,454.956
4657,1366.418
16731,1555.58
8545,98.146
13897,51.553
7829,75.516
26591,1457.651
18596,1395.961
18765,106.578
7324,194.215
22885,4413.067
14579,10165.458
3152,600.346
18237,933.689
14178,3588.901
26761,4122.008
3701,-1.674
8304,2094.67
8873,1632.646
28847,52.979
602,553.722
7295,317.502
230,1087.604
14645,60.233
18943,8.184
7882,5219.594
4467,11804.211
9119,0.0
27711,201.128
20147,86.149
26291,115.785
19708,1205.125
7776,1357.428
8424,74.4
23937,179.304
25891,-0.093
3567,129.208
3615,316.448
27751,792.422
15487,1633.452
27264,12.152
17075,410.223
25396,3258.162
10238,970.424
27733,1588.533
3969,116.529
4507,23.25
11000,6466.693
18499,536.114
2734,4189.154
20201,0.0
15831,1062.153
21454,11391.353
8024,403.0
6721,72.726
13939,6084.432
7807,2048.573
7218,132.029
9462,28.985
1422,3805.25
3115,758.198
3163,408.735
24334,14837.313
29530,-64.666
19091,354.516
7954,995.503
19467,178.684
22107,1937.996
16400,99.51
15443,2352.776
22284,3039.488
10041,916.422
1818,723.881
11050,167.152
25300,2188.197
1194,3101.116
11951,76.725
4582,1762.009
23161,138.88
3539,140.585
11849,142.755
6767,609.026
20965,542.407
6887,1493.084
1114,1196.817
26717,61.535
27373,37.417
20467,569.129
4673,2813.219
28936,165.943
19504,2410.498
25274,2243.873
14614,894.35
4107,1334.922
17377,0.0
15057,12510.112
6229,1282.997
5782,18.6
4979,83.39
14930,11.501
11616,4035.301
22756,8287.416
2976,2384.458
14850,288.858
8695,0.0
21356,11.842
3156,831.048
19367,565.905
18268,424.483
4511,6574.883
13503,113.584
5862,24.18
5395,7299.787
21069,11328.237
27966,128.991
22629,40.362
4884,45.973
17985,7799.414
26243,508.4
5923,47.678
25644,919.708
2955,1300.14
17664,6533.343
12251,905.944
13524,5193.709
23976,275.342
8773,0.0
28016,1512.242
15437,944.415
29569,209.002
6999,374.046
9445,484.871
14422,3963.133
25756,2420.139
22619,78.647
16978,1154.843
19827,3428.011
15724,4545.933
28666,17.546
28772,8386.368
25956,0.0
5356,2314.584
25219,1399.154
4151,1915.335
26360,3739.282
27427,538.501
16314,3680.568
11830,1019.125
17420,0.0
19654,1892.519
28462,1446.646
23103,74.338
5648,0.0
13835,1168.669
23271,0.0
5484,1041.29
15662,23.56
25643,2444.319
20367,2856.774
12670,566.68
8392,0.0
5210,0.0
5950,347.2
7950,1547.799
11789,5.177
29428,1482.73
24461,0.0
15782,418.686
9703,42.222
6195,398.505
10533,1000.153
27866,4540.415
3553,2341.43
2192,2807.98
2043,852.345
25182,3628.085
12181,1797.938
17328,3928.971
1811,586.582
28129,2931.391
4007,0.0
13633,85.467
7558,2282.437
27193,201.252
21734,1247.626
11157,139.469
6550,-3.844
6616,19.282
27647,1502.973
13296,2565.87
16116,757.299
19489,24.769
25767,12.09
15420,1429.503
19750,2854.945
2981,115.723
2106,0.0
16867,1559.207
24459,6951.564
26065,3108.711
7191,1074.77
18486,2231.783
9093,2962.019
11959,8359.832
11973,3792.664
26636,1888.055
28657,119.35
29659,7462.475
7563,642.692
4421,748.557
27532,4895.892
2097,573.686
17104,835.481
18020,6325.767
12399,4107.81
27814,5240.767
19171,1041.662
12479,4398.466
23504,5469.144
9211,5525.409
15068,1042.654
8733,48.05
4975,232.5
4426,831.234
5520,972.687
26244,1049.877
1789,3298.927
10824,33.139
26308,125.271
28431,3147.306
23931,647.063
8701,1315.64
6591,2609.456
20768,2869.825
6559,2091.694
19251,3162.217
21116,656.859
22324,-47.864
7970,0.0
6701,1863.038
7891,12.276
20359,4312.875
24921,4123.403
2917,3122.537
3635,205.065
3974,2320.784
26116,126.015
10451,23.157
4411,4244.458
20586,0.0
16070,515.809
1604,523.404
14061,27.683
2853,486.049
20078,4837.922
4732,1384.77
20735,409.758
23853,2306.803
9712,1394.07
22951,8447.717
9272,5487.527
1666,1528.145
828,94.085
4730,2216.097
21995,104.966
27598,1537.383
8432,7.626
28942,2399.214
27134,1168.979
13230,602.578
14359,-7.346999999999999
25606,441.192
26252,48.887
20205,1187.486
26263,486.824
23164,4263.895
23125,92.318
14377,74.989
18838,884.554
22078,0.0
16229,2469.522
2634,-9.3
23592,8394.056
21411,-1.426
27536,591.604
4720,427.304
21491,1253.609
28367,1746.106
20228,2474.482
21679,1182.743
2276,76.725
28806,2942.365
14683,2834.95
23030,757.485
9690,511.531
254,605.492
10789,2969.18
2516,-0.155
3750,31.31
986,4176.816
29866,521.079
10068,580.01
2044,1801.472
14098,9.3
12313,4056.908
25068,8666.949
5747,298.84
24893,6291.977
18495,146.041
7999,864.404
7801,748.092
19650,3718.481
12459,106.64
29474,571.082
8530,2143.898
20654,4550.335
7347,875.409
20557,102.61
621,10.54
20254,952.041
19545,0.0
24155,4122.07
23521,6085.424
27491,22.072
24440,1184.634
9125,542.655
23472,12.369
27764,7.688
3186,0.0
5290,1519.992
18337,319.114
4420,45.756
23076,12113.467
26921,0.0
16253,112.995
29347,16.43
19945,521.637
1676,1264.149
21141,1000.153
23946,1377.392
8235,1317.19
22343,5.208
29644,524.272
29592,56.234
17416,3944.874
10180,1290.592
15494,0.0
9465,23.064
15282,1112.094
3752,9.796
9637,1573.87
20244,2953.866
12777,260.4
5029,836.721
19166,4482.786
1329,430.342
4808,1881.7
13268,1366.759
16167,27.993
14878,160.115
10021,8.711
16027,155.0
24097,7839.311
1453,538.904
2016,2128.77
7984,0.0
26764,7951.593
1557,9.796
18174,28.613
25637,0.0
1010,5106.816
20184,4643.025
21661,241.428
1204,3308.444
16629,6093.05
6082,3855.625
15297,64.604
29486,1811.33
26982,169.074
11448,1830.953
9646,9.796
12848,236.313
11550,19274.219
23849,3864.212
20016,586.861
5066,153.016
21273,0.0
27513,1475.414
28185,112.375
8500,5.27
4893,123.163
26559,98.797
5334,830.428
7036,1234.513
7663,0.0
12096,88.722
10633,0.0
6773,0.0
8928,27.931
1154,611.909
21534,27.9
15399,1486.047
1240,4.34
9945,45.911
2119,-58.466
29457,810.619
9691,3008.24
16376,203.67
12379,0.0
11181,2100.591
2416,938.649
6707,188.635
20210,1366.356
22510,3242.693
27175,48.608
3520,1074.491
1310,815.145
9529,0.0
25960,1380.058
25457,3327.416
8689,534.657
27445,6877.505
4199,0.0
21271,230.981
6805,71.145
8008,384.524
18843,1632.212
4298,256.928
467,871.534
9951,990.357
13994,282.1
7352,595.5409999999999
12162,0.0
5841,27.435
17130,53.816
20802,510.88
27010,4026.962
15914,3134.751
13531,3042.991
29873,2009.606
8108,-0.155
28891,0.0
21225,199.95
7165,322.4
14836,3450.331
2154,2966.39
25099,4.65
20495,6280.321
29361,7985.693
3523,1682.742
8254,1974.979
22507,226.331
9334,940.23
6879,92.659
20393,3139.711
530,1071.019
27975,623.968
11408,136.927
25229,1780.795
19282,1261.111
24280,2913.225
12800,4082.514
14288,486.886
19589,4705.056
20747,541.973
159,398.474
29166,98.549
13377,4292.508
1044,503.223
17224,2157.662
12727,0.0
11444,873.084
22359,16.058
14906,4171.391
24778,1497.982
3801,8.741999999999999
25726,3935.915
26156,710.179
16651,887.468
11485,5831.286
15488,7314.047
24853,1593.4
9339,2674.277
27352,12180.086
7107,5996.764
16524,3928.475
9213,124.0
23203,4565.587
16967,918.282
15910,2544.294
20176,375.658
22960,320.23
3411,0.093
22010,9085.263
1790,86.428
26988,24.18
21042,25.42
14841,1053.504
15755,167.493
17209,3207.012
9509,1526.285
12070,48.36
5512,2127.096
18588,3842.295
10481,4180.567
9884,395.281
24733,57.412
7135,243.753
4817,1596.655
25640,684.108
13596,13162.786
21462,617.365
5307,4135.4
24645,334.769
27833,2319.234
22691,4874.719
9680,1795.675
11256,136.183
18675,287.618
10559,1111.691
23488,13.95
9149,129.58
6652,0.0
24305,4608.305
1457,-30.504
20140,95.232
6171,3547.33
2674,265.67
20309,18.941
25917,229.71
4449,584.009
21269,2577.154
26760,4740.644
14758,564.603
4698,3300.322
20137,377.115
5018,4797.343
21244,0.0
27808,2768.672
23736,402.442
16291,938.277
13005,19.592
20341,537.4159999999999
14656,459.885
3248,1423.241
8237,0.0
22471,228.718
14697,1013.235
7787,633.609
28174,38.75
9861,34.906
15434,1182.681
3650,3446.828
6624,209.219
8784,1966.051
11960,138.043
14319,15.283
26647,4517.568
500,630.664
1601,0.0
8892,1546.342
22831,3181.499
8855,1655.989
26803,9596.298
10664,0.0
3759,1428.759
14118,327.701
8345,8139.949
22871,7404.257
6800,0.0
25862,8805.673999999999
23344,809.162
5772,602.547
21330,8.525
11403,151.9
7081,0.0
28205,0.0
324,2883.899
19877,3556.94
29169,529.511
6294,779.774
24659,834.272
15442,1849.026
15606,0.0
6984,1490.821
23392,570.4
12661,0.0
4929,514.879
19014,907.215
9466,6987.896
16374,34.596
5055,595.107
11901,2429.098
17285,577.561
17746,5365.015
5943,0.0
13804,4924.164
1572,2622.259
1580,680.233
20712,439.766
25257,483.569
5196,522.319
22228,971.447
8422,4444.656
19235,82.15
10104,0.0
19930,961.713
24216,1588.254
12645,1485.489
8613,2382.877
18784,1437.625
24460,510.415
18006,3730.106
2144,5304.038
12140,1063.734
22082,1636.025
20967,2318.707
29528,288.238
17361,1446.987
6918,-0.4649999999999999
3814,0.372
9514,4.867
14980,92.721
19622,8141.251
12485,90.179
1054,41.85
19694,105.369
19575,723.757
14883,7061.707
11420,3415.022
20919,1001.641
10345,41.881
13455,1460.751
10018,2938.521
7446,0.0
4481,590.922
18856,152.427
27713,2353.892
23210,369.644
3657,473.928
11491,12.276
28033,26.195
10956,692.633
23644,361.212
5787,0.0
3856,1356.157
5701,116.095
16744,9858.682
24349,6328.867
20683,1495.595
8395,54.56
24615,3794.958
22300,4084.56
15321,4992.209
17421,44.702
8542,6.2
18319,4872.363
29726,266.414
947,1459.139
19455,139.903
14838,1231.754
13703,77.5
28408,8.184
13988,2570.582
8776,436.263
17983,1626.26
13297,12.276
289,271.281
28116,2201.186
23345,5160.663
26699,1182.061
9011,468.1
18331,86.738
27104,2178.215
12046,1307.146
19485,3341.769
2813,23.25
1241,567.827
4253,1234.761
22234,88.288
29923,132.091
18841,845.773
3512,186.527
23208,11.904
7685,2975.132
9069,256.06
19112,2048.697
28051,223.076
3202,1500.369
1703,5556.006
10409,760.306
25016,6231.403
2915,1343.54
22665,26.567
26189,238.545
13678,8.741999999999999
14280,1062.742
12803,861.676
27907,722.858
12216,2255.87
9839,2294.62
7494,948.073
24924,1926.34
17110,2418.775
9136,1440.291
19055,1489.55
11319,12.09
19986,330.987
26653,424.917
7905,2980.061
25931,73.594
29609,2412.761
21136,10697.325
9331,563.983
27160,1527.401
12921,1065.284
16502,538.625
3438,199.206
16622,326.182
1418,1494.386
9926,210.552
28816,1389.885
3439,496.682
2998,1570.801
3004,350.486
15943,225.184
4908,15.283
22706,0.0
24528,4462.357
14545,2699.356
11742,1433.688
20496,0.0
21292,123.907
12118,196.695
17675,12897.364
13550,3.131
21853,136.586
28031,1501.423
20518,1940.29
6599,684.015
18673,1882.258
27012,465.589
13974,6182.826
24573,2417.814
10919,1523.836
23404,514.972
22775,4684.813
21370,422.22
21780,831.265
27425,2490.478
4912,392.584
15162,681.132
14708,509.454
26506,2318.366
12092,4296.662
12435,73.222
8425,168.268
10115,2388.147
27771,1121.425
1869,1050.745
12047,-0.062
7668,316.665
23419,325.345
28445,1470.113
10029,5708.216
17066,2727.597
28328,203.422
5324,121.396
5366,1209.0
13542,14.973
25024,7506.092
1180,58.094
5298,182.28
25073,-0.3409999999999999
11358,225.091
28954,-8.897
18689,1823.141
27948,11.284
6979,9.641
11638,0.0
11344,435.674
12021,1898.471
8038,12.276
13773,8693.485
10904,411.401
1525,369.396
14430,842.146
9989,0.0
14410,18.6
26015,0.0
27688,1392.83
26297,37.944
5888,7281.9
16558,142.10399999999998
11628,75.361
22878,965.03
20910,24.18
21743,395.25
13673,159.433
24442,1765.481
27292,2106.078
18142,-5.208
1598,240.064
22685,-1.798
18737,358.546
24709,754.819
13437,3371.436
23970,1479.537
7991,310.744
22772,8669.77
12680,369.644
18763,2077.868
10596,209.188
14270,771.59
6339,196.478
319,-0.062
25842,4244.334
11840,6778.925
11541,756.276
18114,2833.09
1135,1848.933
27662,1416.328
27564,2169.814
25467,2169.07
5133,2282.158
19722,420.422
8655,4.154
10984,26.598
80,5122.874
17460,138.694
7118,5741.324
25888,58.404
10718,3635.525
26201,187.209
3988,2819.109
886,47.864
3897,1286.841
14592,108.159
27523,569.191
6341,145.266
9743,866.233
538,100.967
17217,2936.692
3874,40.734
7294,498.79
4615,368.683
2306,0.0
25495,294.996
10847,2302.277
20859,736.684
13133,2836.283
16844,4717.58
12868,24.18
2888,184.202
6801,783.122
13079,661.943
7550,4905.13
10565,46.438
9751,1722.577
24572,0.0
21764,1716.408
893,4264.794
18427,277.016
10183,7399.948
26691,1967.477
25551,25.327
29788,3126.722
8361,3986.073
13453,665.043
7521,5065.586
20022,3158.063
5164,261.857
13366,3981.702
27515,5391.117
13316,132.68
29216,464.659
1671,327.701
4955,460.443
28183,2949.805
21593,2237.704
13212,618.605
3934,3541.037
17820,27.59
19712,207.669
15228,1657.756
21362,1505.236
27071,2444.629
24233,2187.608
24594,7.75
14505,263.779
10635,4987.249
28314,1511.157
2476,95.79
182,1749.082
23159,-0.558
12814,27.466
29473,2051.487
11216,1962.734
21845,248.0
370,2589.678
4603,190.216
23546,639.344
23459,2831.664
13594,1463.944
17297,2273.106
18776,269.359
16566,783.184
11869,0.0
21465,18.476
55,59.055
1295,3527.831
10794,74.4
9242,39.556
12297,396.335
23648,759.81
18451,36.518
18051,80.662
128,103.757
22092,1813.531
7612,66.712
11919,4968.835
15554,94.86
22952,724.408
29321,600.253
1460,32.55
3455,449.407
8601,933.751
20060,55.18
14725,12.09
12490,4849.919
10575,372.341
5714,3092.405
12406,413.912
7532,4385.043
27048,557.969
24085,364.932
17580,3790.184
22705,58.156
28805,8612.482
22457,0.0
1029,941.594
12581,1034.842
3191,1315.547
14091,243.195
19144,1512.676
1716,4404.697
24661,19.127
8311,9318.538
13496,483.879
19811,287.866
13289,1472.562
7083,201.624
17667,1853.645
23096,3901.474
5882,571.826
983,1388.831
6002,2431.268
578,161.107
27034,18.6
17319,623.193
8076,4085.521
3922,-4.34
15870,603.105
21505,558.651
3909,12.09
7983,8.184
10005,481.089
4080,102.269
24953,509.02
24546,10.23
16271,5186.269
12030,302.157
24694,358.763
7471,303.831
20705,5490.596
22944,606.732
25147,1364.837
1309,5124.393
15533,0.0
19279,0.0
13099,3316.504
18729,792.112
21474,30.008
24315,7199.564
7156,647.063
504,0.0
4985,813.409
6719,2279.647
23979,1588.626
28512,2088.594
5606,0.0
19289,6.913
5153,12.09
3012,18.104
769,69.967
5527,3594.14
2130,1478.421
10819,0.0
28533,864.063
13720,565.905
8788,21.7
21666,444.199
8091,7463.87
6640,1458.86
1558,1181.162
11410,3154.777
15009,1065.904
7445,3531.892
12124,2141.294
10186,4.402
2049,469.588
2362,554.125
28719,77.5
4752,5874.934
5548,3097.055
3041,0.0
5808,76.074
140,0.0
26374,3356.184
10615,52.39
17616,1108.498
17942,1344.873
4329,755.966
14741,173.6
22734,37.076
2105,1517.853
25370,69.192
26410,934.743
9039,2049.348
9834,32.55
22086,76.074
15630,7862.437
22803,31.713
17098,626.944
19237,1228.809
7245,10.85
4530,163.029
25575,12.896
1909,822.244
17108,792.2669999999999
569,581.281
27791,6793.805
26012,6301.215
24810,3553.375
2032,0.0
24479,126.48
20449,2348.405
22651,0.0
3109,2523.865
3729,2548.138
15864,833.001
23171,758.787
2485,815.393
7298,236.809
11686,23.25
19970,15.5
1164,24.18
15024,3538.34
2495,30.566
25142,15.5
5371,4262.562
6868,1668.172
4947,1561.873
28104,1162.593
10144,1611.907
2867,41.695
5082,4156.263
19633,3570.146
29623,7323.378
751,2626.01
20353,350.486
14182,603.136
94,1415.088
15391,892.428
6249,44.485
6531,114.049
2680,27.9
880,152.985
548,74.493
15067,489.273
20349,1528.331
26588,594.518
9738,584.66
13690,759.5
5447,9896.533
29095,2570.024
24109,1725.336
7674,745.984
24975,6225.482
8683,115.971
4841,672.204
5287,1766.07
14146,2341.678
8973,4326.639
29821,1816.786
29692,50.189
12623,2001.391
6869,336.257
17520,530.162
25278,284.022
8272,816.168
8049,730.949
26373,4259.214
14905,6.2
16856,188.728
21047,3493.545
1193,3823.447
14041,0.0
9821,27.28
27045,804.419
1764,694.865
6256,2548.572
15514,2469.863
22860,792.794
10773,18724.589
19,0.0
2343,11554.444
4361,19.84
13145,4858.103
24195,14.911
28063,4091.876
3105,1133.05
2339,2534.994
26579,596.657
22839,30.876
15827,4851.686
10742,-89.9
18622,2601.861
12578,159.898
18284,8996.541
27244,8956.148
20632,477.648
4648,46.624
18659,36.394
14028,361.367
4982,2688.196
26299,57.846
11975,177.444
19133,172.205
25330,3972.247
14553,1479.909
6098,6760.914
6457,50.53
8405,27.28
29786,636.368
25814,1794.28
14128,0.0
7334,2095.321
2703,1459.046
11659,4489.947
22774,0.0
29547,2656.793
22174,0.0
29086,17.669999999999998
4700,0.0
20815,0.0
17895,2151.028
3314,605.74
24030,3361.485
5641,465.0
1121,619.287
22580,5205.365
10667,9949.512
2312,7339.932
2460,794.0649999999999
12311,518.692
5001,1379.748
24592,2255.994
28160,1374.044
12709,1275.681
12431,162.936
13178,294.5
6611,10.106
3965,1374.261
3711,0.0
7744,211.606
23539,2275.865
8718,67.487
3009,2664.915
5806,5962.075
15342,187.891
29956,77.5
17638,3226.573
23531,53.134
4245,1091.634
3935,53.816
23420,58.218
7351,8056.094
25397,139.872
24968,2617.547
8994,1485.241
28,20.15
8403,3623.497
3901,500.619
